Nombre,Direccion,Telefono,Latitud,Longitud
Brigada Investigadora de Delitos contra el Medio Ambiente y Patrimonio Cultural Aysén,"Carrera 731, Aysén",67-258 48 33,-45.4063707439379,-72.6969401191066
Brigada de Investigación Criminal Punta Arenas,"Errázuriz 977, Punta Arenas",61 - 272 17 77,-53.1653587106120,-70.9067111617356
Brigada de Delitos Económicos Punta Arenas,"Errázuriz 977, Punta Arenas",61 - 272 17 33,-53.1653587106120,-70.9067111617356
Brigada Investigadora de Delitos Sexuales Punta Arenas,"Errázuriz 977, Punta Arenas",61 - 272 17 12,-53.1653587106120,-70.9067111617356
Brigada de Homicidios Punta Arenas,"Errázuriz 977, Punta Arenas",61 - 272 17 18,-53.1653587106120,-70.9067111617356
Brigada Investigadora de Robos Punta Arenas,"Errázuriz 977, Punta Arenas",61 - 272 17 38,-53.1653587106120,-70.9067111617356
Brigada Antinarcóticos y Contra el Crimen Organizado Punta Arenas,"Errázuriz 977, Punta Arenas",61 - 272 17 07,-53.1653587106120,-70.9067111617356
Laboratorio de Criminalística Regional Punta Arenas,"Errázuriz 977, Punta Arenas",61 - 272 17 55,-53.1653587106120,-70.9067111617356
Departamento de Migraciones Y Policía Internacional Punta Arenas,"Errázuriz 977, Punta Arenas",61 - 272 17 46,-53.1653587106120,-70.9067111617356
Brigada de Investigación Criminal Puerto Natales,"Bories 408, Puerto Natales",61 - 272 18 33,-51.7256084747234,-72.5070611879557
Departamento de Migraciones Y Policía Internacional Puerto Natales,"Bories 408, Puerto Natales",61 - 272 18 35,-51.7256084747234,-72.5070611879557
