Nombre,Direccion,Telefono,Latitud,Longitud
Sección de Migraciones y Policía Internacional Cauquenes,"Carrera N°298, Cauquenes",73 - 261 26 81,-35.9671285892854,-72.3154291184816
Brigada de Investigación Criminal Linares,"Valentín Letelier 417, Linares",73 - 261 05 97,-35.8485558734277,-71.5979911730615
Brigada de Delitos Sexuales Linares,"Valentín Letelier 417, Linares",73 - 261 05 97,-35.8485558734277,-71.5979911730615
Brigada Investigadora de Robos Linares,"Valentín Letelier 417, Linares",73 - 261 05 97,-35.8485558734277,-71.5979911730615
Departamento de Migraciones y Policía Internacional Linares,"Valentín Letelier 417, Linares",73 - 261 05 97,-35.8485558734277,-71.5979911730615
Brigada Investigadora de Delitos Económicos Linares,"Valentín Letelier 417, Linares",73 - 261 05 97,-35.8485558734277,-71.5979911730615
Brigada de Homicidios Linares,"Valentín Letelier 417,  Linares",73 - 261 05 97,-35.8485558734277,-71.5979911730615
Brigada Antinarcóticos y Contra el Crimen Organizado Linares,"Valentín Letelier 417, Linares",73 - 261 05 97,-35.8485558734277,-71.5979911730615
Brigada de Investigación Criminal San Javier,"Av. Chorrillos 1581, San Javier",73 - 261 05 61,-35.5775245829021,-71.7069291174846
Brigada de Investigación Criminal Curicó,"Calle Manuel Rodríguez 1041, Curicó",75 -257 58 07,-34.9793357310135,-71.2434511672527
Brigada de Delitos Sexuales Curicó,"Calle Manuel Montt 40, Curicó",75 - 257 5873,-34.9823257315042,-71.2354411671215
Brigada de Homicidios Curicó,"Calle Manuel Rodríguez 1041, Curicó",75 - 257 58 13,-34.9793357310135,-71.2434511672527
Brigada Antinarcóticos  y Contra el Crimen Organizado Curicó,"Calle Manuel Rodríguez 1041, Curicó",75 - 257 58 12,-34.9793357310135,-71.2434511672527
Departamento de Migraciones y Policía Internacional Curicó,"Calle Manuel Montt 40, Curicó",75 - 257 58 67,-34.9823257315042,-71.2354411671215
Brigada de Investigación Criminal Parral,"Calle Dieciocho N° 02, Parral",73 - 261 06 57,-36.1401785921206,-71.8322141176898
Brigada de Investigación Criminal Molina,"Calle Independencia 1964, Molina",75 - 257 58 49,-35.1144757531562,-71.2821911678874
Laboratorio de Criminalística Regional Talca,"Calle 13 Sur N° 60, Talca",71 - 253 03 74,-35.4474580770660,-71.6330641173636
Brigada Investigadora de Robos Curicó,"Calle Manuel Rodríguez N° 1041, Curicó",75 -257 58 31,-34.9793357310135,-71.2434511672527
Brigada de Investigación Criminal Chillán,"Arauco 950, Chillán",42-283 23 63,-36.6117559984703,-72.1049811813680
Brigada Investigadora de Robos Chillán,"Avenida O´Higgins Nº 1490, Chillán",42-283 23 71,-36.6066625997635,-72.1033171181340
Departamento de Migraciones y Policía Internacional Chillán,"Arauco 950, Chillán",42-283 23 63,-36.6117559984703,-72.1049811813680
Brigada de Delitos Sexuales Chillán,"Vega de Saldías 350, Chillán",42 -283 23 34 / 42 -283 23 06,-36.6028755997015,-72.1054221181375
Brigada Antinarcóticos y Contra el Crimen Organizado Chillán,"Avenida O´higgins Nº 1490, Chillán",42-283 23 71,-36.6066625997635,-72.1033171181340
Laboratorio de Criminalística Regional,"Vega de Saldías 350, Chillán",42-283 23 34,-36.6028755997015,-72.1054221181375
Departamento de Asesoría Técnica,"Vega de Saldías 350, Chillán",42-283 23 34,-36.6028755997015,-72.1054221181375
Brigada de Delitos Económicos Chillán,"Arauco 950, Chillán",42-283 23 63,-36.6117559984703,-72.1049811813680
Brigada de Homicidios Chillán,"Vega de Saldías 350, Chillán",42-283 23 34,-36.6028755997015,-72.1054221181375
Brigada de Investigación Criminal San Carlos,"General Venegas  N°494, San Carlos",42-283 24 25,37.5037346144611,-122.264930200318
Brigada de Investigación Criminal Concepción,"Angol 815, Concepción",41-286 50 28,-36.8251060334258,-73.0572211969696
Brigada de Investigación Criminal Chiguayante,"Obispo San Miguel N°1841, Chiguayante",41-286 54 81,-36.9099866047332,-73.0314301196546
Brigada de Delitos Sexuales Concepción,"Angol 815, Concepción",41 -286 50 79 / 41 -286 50 28,-36.8251060334258,-73.0572211969696
Brigada de Homicidios Concepción,"Ifarle Oriente Nº 5799, Sector Brisas del Sol, Talcahuano",41-286 52 82,-36.7805386026123,-73.0737571197240
Brigada Investigadora del Cibercrimen Concepción,"Angol 861, Concepción",41-286 51 29,-36.8249060333925,-73.0573711969719
Laboratorio de Criminalística Cobertura Zona Sur Concepción,"Angol 861, Concepción",41-286 50 42,-36.8249060333925,-73.0573711969719
Brigada Antinarcóticos y Contra el Crimen Organizado Concepción,"Enrique Soro #1520, San Pedro de la Paz, Concepción",41-286 51 37,-36.8313960344560,-73.1052411977562
Brigada de Reacción Táctica Concepción,"Enrique Soro #1520, San Pedro de la Paz, Concepción",41-286 51 37,-36.8313960344560,-73.1052411977562
Brigada Investigadora de Robos Concepción,"Michimalongo 939, San Pedro",41-286 51 01,-36.8421603621769,-73.0915611975322
Brigada Investigadora de Delitos Económicos Concepción,"Angol 885, Concepción",41-286 50 32,-36.8245660333368,-73.0575611969751
Departamento de Migraciones y Policía Internacional Concepción,"Angol 861, Concepción",41-286 50 41,-36.8249060333925,-73.0573711969719
Departamento de Migraciones y Policía Internacional Talcahuano,"Avda. Ifarle Nro. 5799, sector Brisas del Sol, comuna de Talcahuano.",41-286 52 42,-36.7805386026123,-73.0737571197240
Brigada de Investigaciones Policiales Especiales Concepción,"Ifarle Oriente Nº 5799, Sector Brisas del Sol Talcahuano",41-286 52 37,-36.7805386026123,-73.0737571197240
Brigada de Investigación Criminal Talcahuano,"Ifarle Oriente Nº 5799, Sector Brisas del Sol Talcahuano",41-286 52 31,-36.7805386026123,-73.0737571197240
Brigada de Investigación Criminal Tomé,"Mariano Egaña N°909, Tomé",41-286 54 33,-36.6170805999342,-72.9575041195335
Brigada de Investigación Criminal Coronel,"Calle Manuel Montt N°798, Coronel",41-286 54 61,-37.0136160643099,-73.1555711985809
Departamento de Migraciones y Policía Internacional Coronel,"Calle Manuel Montt N°798, Coronel",41-286 54 56,-37.0136160643099,-73.1555711985809
Brigada de Investigación Criminal Lota,"Condell 01, Lota",41-286 54 10,-37.0960686077819,-73.1569961198604
Brigada de Investigación Criminal Los Ángeles,"Av. O’Higgins 151, Los Ángeles",43-257 02 20,-36.7835026026608,-73.0830741197393
Brigada de Homicidios Los Ángeles,"Av. O’Higgins 151, Los Ángeles",43-257 02 10,-36.7835026026608,-73.0830741197393
Brigada de Delitos Sexuales Los Ángeles,"Av. O’Higgins 151, Los Ángeles",43-257 02 08,-36.7835026026608,-73.0830741197393
Brigada de Investigación Criminal Cabrero,"Río Claro 1030, Cabrero",43-257 02 73,-37.0342476067691,-72.4118081186395
Departamento de Migraciones y Policía Internacional Los Ángeles,"Av. O’Higgins 151, Los Ángeles",43-257 02 22,-36.7835026026608,-73.0830741197393
Brigada de Investigación Criminal Mulchén,"Pedro Lagos N°410, Mulchén",43- 257 03 86,-37.7200886180059,-72.2441118364787
Brigada de Investigación Criminal Lebu,"Freire 615, Lebu",41-286 53 87,-33.0464945414337,-71.4088941169963
Brigada de Investigación Criminal Cañete,"Villagrán 213, Cañete",41-286 53 07,-37.8044916193887,-73.4000111202585
Departamento de Migraciones y Policía Internacional Temuco,"Prat 19, Temuco",45 - 265 94 44,-38.7337263461339,-72.5890611892992
Brigada Investigadora de Delitos Económicos Temuco,"Prat 19, Temuco",45 - 265 94 44,-38.7337263461339,-72.5890611892992
Laboratorio de Criminalística Cobertura Zona Sur Temuco,"Prat 19, Temuco",45 - 265 94 44,-38.7337263461339,-72.5890611892992
Brigada de Homicidios Temuco,"Prat 19, Temuco",45 - 265 94 44,-38.7337263461339,-72.5890611892992
Brigada Investigadora de Robos Temuco,"Prat 19, Temuco",45 - 265 94 44,-38.7337263461339,-72.5890611892992
Brigada de Investigación Criminal Temuco,"Prat 19, Temuco",45 - 265 94 44,-38.7337263461339,-72.5890611892992
Brigada Antinarcóticos y Contra el Crimen Organizado Temuco,"Antonio Varas 459, Temuco",45 - 265 95 51,-38.7396263470993,-72.5954011894031
Brigada Investigadora de Delitos Sexuales Temuco,"Prat 19, Temuco",45 - 265 95 48,-38.7337263461339,-72.5890611892992
Brigada de Investigación Criminal de Victoria,"Baquedano Nº 845, Victoria",45 - 265 95 78,-38.2302566263645,-72.3297561185050
Brigada de Investigación Criminal Angol,"Manuel Bunster Nro. 639, Angol",45 - 265 98 18,-37.7959961924959,-72.7098411912780
